,Dining Hall,Meal Period,Station,Dish,Serving Size,Calories (kcal),Total Lipid/Fat (g),Saturated fatty acid (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrate (g),Total Dietary Fiber (g),Sugar (g),Added Sugar (g),Protein (g),Vitamin A (iu),Vitamin C (mg),Calcium (mg),Iron (mg),Vitamin A (rae),Phosphorus (mg),Potassium (mg),Vitamin D(iu),Allergens,Ingredients
Frary_Dinner_Grilled Vegetables,Frary,Dinner,Mainline,Grilled Vegetables,85.05 FHP2,34.76,1.3,0.22,NA,0,62.83,5.41,1.65,3.02,NA,1.11,106.23,11.03,15.88,0.31,117.49,0,N/A,N/A,,"Red Onion, Yellow Squash, Zucchini, Eggplant, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Garlic, Kosher Salt, Marjoram, Thyme, Rosemary, Savory, Sage, Oregano, Basil, Black Pepper"
Frary_Dinner_Roasted Greek Potatoes,Frary,Dinner,Mainline,Roasted Greek Potatoes,85.00 FHP2,48.32,0.35,0.06,NA,0,88.57,10.05,1.92,0.2,NA,1.96,11.08,11.53,25.48,2.51,308.54,0,N/A,N/A,,"Potato, Lemon Juice, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Kosher Salt, Oregano, Black Pepper"
Frary_Dinner_Warm Pita Bread,Frary,Dinner,Mainline,Warm Pita Bread,74.00 FHP2,190,4,0.5,0,0,370,32,1,2,NA,6,0,0,40,1.8,0,0,N/A,N/A,"Milk, Soy, Wheat","Enriched Wheat Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamin Mononitrate B1, Riboflavin B2, Folic Acid), Water, Soybean Oil, Contains Less Than 2% Of: Yeast, Salt, Sugar, Dough Conditioner (Calcium Sulfate, Guar Gum, Vegetable Mono And Diglycerides, L-Cysteine, Calcium Peroxide, Enzyme), Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Monocalcium Phosphate), Non-Fat Dry Milk, Yeast Nutrients (Ammonium Sulfate, Ascorbic Acid, Azodicarbonamide), Calcium Propionate and Potassium Sorbate (Preservatives)"
Frary_Dinner_Tzatziki Sauce,Frary,Dinner,Mainline,Tzatziki Sauce,56.00 GAL,21.9,0.48,0.31,NA,2.03,168.4,2.33,0.42,1.35,NA,2.33,53.34,4.45,28.55,0.18,3.72,0,N/A,N/A,Milk,"Cucumber, Pasteurized Skimmed Milk and Cream, Live Active Yogurt Cultures, Lemon, Garlic, Spearmint Leaves, Kosher Salt"
Frary_Dinner_Lamb Gyros,Frary,Dinner,Expo Station,Lamb Gyros,5185.43 FHP2,9594.1,611.228,275.888,NA,1808.62,8106.67,438.015,34.1101,62.0723,NA,563.809,31072.9,200.919,1439.43,69.9406,8669.18,6.38E-08,N/A,N/A,"Milk, Soy, Wheat","Halal Lamb, Enriched Wheat Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamin Mononitrate B1, Riboflavin B2, Folic Acid), Water, Soybean Oil, Contains Less Than 2% Of: Yeast, Salt, Sugar, Dough Conditioner (Calcium Sulfate, Guar Gum, Vegetable Mono And Diglycerides, L-Cysteine, Calcium Peroxide, Enzyme), Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Monocalcium Phosphate), Non-Fat Dry Milk, Yeast Nutrients (Ammonium Sulfate, Ascorbic Acid, Azodicarbonamide), Calcium Propionate And Potassium Sorbate (Preservatives, Lettuce, Tomato, White Onion, Cucumber, Pasteurized Skimmed Milk And Cream, Live Active Yogurt Cultures, Garlic, Lemon, Lemon Juice, Extra Virgin Olive Oil, Kosher Salt, Parsley, Spearmint Leaves, Black Pepper, Dried Oregano, Cumin, Oregano,"
Frary_Dinner_Pepperoni Pizza,Frary,Dinner,Pizza,Pepperoni Pizza,117.00 PIZ,252.57,10.19,4.28,0,27.71,761.15,28.63,1.86,2.24,NA,12.16,276.17,1.79,206.57,1.88,0,0,N/A,N/A,"Milk, Soy, Wheat","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup, Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme), Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative), Tomato Puree (Water, Tomato Paste), Less Than 2% Of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid, Pork, Beef, Salt, Contains 2% Or Less Of Water, Spice, Seasoning (Cane Sugar, Celery Juice Powder), Seasoning (Extractives Of Paprika, Natural Spice Extractives), Lactic Acid Starter Culture, Mustard Present. No Nitrites Or Nitrates Added Except For Those Naturally Occurring In Natural Flavoring"
Frary_Dinner_Sausage Pizza,Frary,Dinner,Pizza,Sausage Pizza,106.52 PIZ,232.52,10.74,4.22,0,29.16,638.18,23.21,1.5,1.8,NA,11.35,241.93,1.68,165.98,1.73,0,0,N/A,N/A,"Milk, Soy, Wheat","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup, Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme), Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative), Tomato Puree (Water, Tomato Paste), Less Than 2% Of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid., Pork, Filtered Water, Natural Spices, Sea Salt, Pure Cane Sugar And Orange Peel Powder"
Frary_Dinner_Cheese Pizza,Frary,Dinner,Pizza,Cheese Pizza,78.00 PIZ,166.8,6.12,2.83,NA,17.57,495.3,19.28,1.24,1.53,NA,9.07,224.75,1.19,186.44,1.3,0,0,N/A,N/A,"Milk, Soy, Wheat","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup, Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme), Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative), Tomato Puree (Water, Tomato Paste), Less Than 2% Of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid, Parmesan Cheese (Pasteurized Cow`s Milk, Cultures, Enzymes, Salt, Cellulose)"
Frary_Dinner_VEGAN BAR (name only),Frary,Dinner,Pizza,VEGAN BAR (name only),1.00 EA,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Frary_Dinner_Baked Tofu,Frary,Dinner,Pizza,Baked Tofu,85.00 FHP2,205.83,10.19,1.45,NA,NA,1748.86,15.11,1.67,10.59,NA,14.38,109.33,1.04,469.86,1.51,0,0,N/A,N/A,"Soy, Sesame","Tofu (Water, Soybeans, Calcium Sulfate), Soy Sauce (Water, Whole Soybeans (OCIA Certified), Salt, Alcohol (To Preserve Freshness)., Rice Wine Vinegar, Sugar, Salt, Potassium Metabisulfite (As A Preservative), Brown Sugar, Sesame Seed Oil, Chili, Sugar, Salt, Garlic, Distilled Vinegar, Potassium Sorbate, Sodium Bisulfite As Preservatives And Xanthan Gum. Contains Sulfite, Garlic, Ginger"
